platform,komentar,timestamp,sentimen
twitter,"Gue setuju vasektomi di enforce untuk  solusi kemiskinan di hilir 
Tapi apakah solusi lainnya udah dijalanin? 
Edukasi seksnya
Solusi biaya Pendidikannya
Kesehataany udah proper blom?
Kebijakan ketenagakerjaanya 

Jangan nyari solusi gampang doang nanganin kemiskinan",2025-05-01T15:05:10.000Z,
twitter,"Gue salah satu perempuan yg gak setuju, bansos itu haknya orang miskin dari pemerintah gak pake syarat. Kalo mau program berjalan lancar ya lu paling engga kasih intensif buat yang mau melakukan (mau itu KB perempuan ataupun KB vasektomi laki-laki) secara suka rela.",2025-05-01T14:40:40.000Z,
twitter,"Kembali kata2 lu ini bang,
""Gua dukung-dukung aja kalo ada orang mau vasektomi asal secara sukarela bukan karena ancaman negara.""
Gw setuju pndapat lu, tp apakh bangsa skr ada kesadaran trsbut?
""Persetan nmbh ank apa kga, trpnting ngewe bini sendiri""",2025-05-01T14:35:29.000Z,
twitter,"Jujur gue ga milih dedi , tp pas org miskin harus vasektomi gue si setuju. Karena ini joke dark kita di tongkrongan yg bersenggolan dgn merekawkwk

Jawa barat pemerintahnya emg sampah dari ujung ke ujung ,kita akuin itu. 
Tp kita liat sebgitu parah nya jabar ya gue sih setuju.",2025-05-01T14:30:43.000Z,
twitter,nyatanya banyak orang miskin di kampung2 yg nambah anak supaya dapet bansos. gue orang kabupaten tetangga gue punya 6 anak dan masih pada kecil2 itu anaknya banyak yg gak keurus. gue sih kasian ngeliat anaknya makanya gue setuju sama program vasektomi,2025-05-01T14:29:09.000Z,
twitter,"Dr jaman jebot jg udh ada edukasi, cuma kan kaum lanang ini mana mau kb. Pake kondom riwil. Vasektomi emoh. Mau gak mau istrinya yg kudu ngalah, walaupun tanpa aturan baku. Gitu ceritanya. Ini bukan soal setuju/tidak sm kdm, tp kami geli aja liat kalian mendadak ngerti ",2025-05-01T13:39:32.000Z,
twitter,"Iya mentok gak mampu ngatasi kemiskinan kasih solusi vasektomi, gitu ya ada yang dukung dan setuju ide spt itu.",2025-05-01T13:29:03.000Z,
twitter,"Kenapa loo pada ga setuju vasektomi. Kan bagus ngurangi anak, ngurangin biaya kondom + ramah lingkungan juga ketimbang kondom. Yang cowo habis vasektomi juga tetep bisa seks toh malah ga khawatir jadi bayi.",2025-05-01T13:28:29.000Z,
twitter,"Kebijakan vasektomi ini setuju ngga? Engga, gw menolak. Ada hak yang sudah dilindungi UU malah dilanggar. Tapi. Tapi, nih. Sampai ada upaya penyelamatan yang lebih baik, masuk akal, bisa dilakukan dan punya efek yang segera, gw akan biarkan beliau bekerja dulu.",2025-05-01T13:17:24.000Z,
twitter,"mau vasektomi atau pun ga yaa kan dr individu sndiri2 klo kamuu ora setuju vasektomi ya wes oraa dapat bansos. kerja ajaa bangg hidup ngandelin bansos tp gamau ikuto aturan,  hidup kok di persulit",2025-05-01T13:07:16.000Z,
twitter,"Aku sama mamakku ga setuju kebijakan nyeleneh kayak gitu. Bapakku vasektomi, suamiku yg KB, apa kau?",2025-05-01T13:06:06.000Z,
twitter,Menurut gue dia curang banget manfaatin vasektominya buat dapetin persetujuan. Iya gue setuju banget vasektomi untuk program KB karena nggak hanya membebani perempuan. Setuju juga perlu ada perencanaan matang/ KB untuk dapet kualitas hidup yang layak.,2025-05-01T13:03:20.000Z,
twitter,Setuju vasektomi tapi ga setuju kondom,2025-05-01T12:58:11.000Z,
