platform,komentar,timestamp,sentimen
twitter,mana nih yg kemaren koar koar ga terima soal syarat penerima bansos vasektomi. liat noh vasektomi itu memang penting bgt buat orang miskin dan tolol kayak orang ini,2025-05-01T03:18:31.000Z,
twitter,"Ini orang2 yg koar gak setuju persoalan kebijakan vasektomi untuk penerima bansos lucu ya,
bilangnya diskriminatif wkwkwk how about kelompok/kalangan yang udah jelas dari dulu diperlakukan diskriminatif ?? Wkwkwk lucu",2025-05-01T03:13:48.000Z,
twitter,"Setuju. Saya aja yg bukan kategori penerima bansos, sebenernya kepikiran buat vasektomi",2025-05-01T03:11:54.000Z,
twitter,kenapa sih ga mau vasektomi? eh btw emang lo termasuk orang miskin terdaftar penerima bansos yang punya anak lebih dari 5 dan rencana mau nambah anak lagi bukan yaa?,2025-05-01T02:46:39.000Z,
twitter,Fokus untuk meningkatkan kualitas hidup keluarganya. Dengan ini penerima bansos yg salah sasaran akan menolak utk tetap menerima bansos krn disyaratkan hrs vasektomi dan yg benar2 berhak harusnya berpikir panjang bahwa kebijakan tsb sebetulnya utk kebaikan mereka sendiri,2025-05-01T02:45:35.000Z,
twitter,Kalau keluarga miskin belum punya anak atau anaknya cuma 1 tanpa vasektomi pun juga tetap dapet bansos. Poin utamanya tuh diharapkan penerima bansos bisa memenuhi kebutuhan primernya. Karena banyak ditemui penerima bansos masih kekurangan karena terlalu banyak anggota keluarganya,2025-05-01T02:44:04.000Z,
twitter,"Orang orang yg pro ide vasektomi buat penerima bansos sama beasiswa tu sekaya apa sih, songong amat deh heran ",2025-05-01T02:34:43.000Z,
twitter,"Lu ga nangkep point nya ya? Kt gue tingkatin literasi lo dulu wkwkwk jd keliatan bloon nya kl bgni, emg lu ga bsa baca ""vasektomi utk penerima bansos"" lo slh satunya ya? Wkwkwk",2025-05-01T02:29:39.000Z,
twitter,"Isu ini sesederhana gini:

Kalau vasektomi itu diwajibkan bagi penerima bansos, ketika si penerima bansos itu sudah mampu dan tidak lagi layak menerima bansos, apakah pemerintah bisa dan bersedia menanggung rekanalisasinya sampai berhasil tuntas?",2025-05-01T02:28:54.000Z,
twitter,"Kebijakan wajib vasektomi untuk penerima bansos di Indonesia kemungkinan besar tidak sejalan dengan UUD 1945. Pasal 27(1) menjamin persamaan di hadapan hukum, namun kebijakan ini mendiskriminasi berdasarkan status sosial. Pasal 28A melindungi otonomi tubuh, sehingga vasektomi",2025-05-01T02:16:20.000Z,
twitter,"Vasektomi ada syaratnya juga kan, kalo aku setuju pemberian insentif untuk org miskin yg bersedia vasektomi. Tapi bukan jadi syarat penerima bansos.",2025-05-01T02:11:13.000Z,
twitter,Klo lu mampu gak miskin gak nerima bansos gak disuruh vasektomi. Ini khusus utk yg miskin penerima bansos tp anak udah banyak. Ingat makin banyak anak makin banyak yg kelaparan,2025-05-01T02:05:52.000Z,
twitter,Syarat vasektomi -> edukasi vasektomi krg -> rakyatnya milih gak ngambil bansos -> angka penerima bansos turun -> tingkat kemiskinan daerah dianggap menurun -> ditiru secara nasional -> kemiskinan secara nasional menurun -> Indonesia emas 2045,2025-05-01T01:54:15.000Z,
twitter,"Enggak, itu si alun kaya, bisa beliin anaknya rubicon. Tp anaknya jadi beban masyarakat, mukulin org lain. Harusnya yg diharusin vasektomi bukan cuma penerima bansos, krna ngebesarin anak itu bukan cuma harus kuat secara ekonomi aja",2025-05-01T01:53:11.000Z,
twitter,Jadi sampean itu pro atau kontra mas soal vasektomi di taro di program penerima bansos?,2025-05-01T01:53:02.000Z,
twitter,"Mau jadi penerima bansos seumur hidup atau dicarikan lapangan pekerjaan?
Sama mau vasektomi klo negara jamin sejahtera dan penuhi hajat hidup saya dan keluarga seumur hidup.
Jalankan kebijakan penguasa kompensasinya mahal.
Tawar menawar harga pas tancap gas.",2025-05-01T01:47:38.000Z,
twitter,"Pertanyaan gw: Apa dengan Vasektomi ini bisa benerin masalah ekonomi masyarakat penerima bansos tsb? Apa setelah ini bakalan menghilangkan ketergantungan masyarakat kepada bansos? Gimana dampaknya dengan kemauan masyarakat untuk bekerja, produktif membenahi ekonominya?",2025-05-01T01:46:18.000Z,
twitter,"Penerima vasektomi gratis itu dia harus sudah menikah dan punya 2 anak, udah sesuai saran negara. Terus kalau gamau vasektomi ya gausah terima bansos ege ribet amat hidup lu, hidup ngandelin bansos aja sok pengen punya anak? Mikir! kucing liar aja suntik mati kalau kebanyakan",2025-05-01T01:43:46.000Z,
twitter,"kdm jadiin vasektomi sbg syarat penerima bantuan juga buat naikin taraf hidup keluarga lu kocak 

klo lu beranak pinak tp ujung""nya mindset lu jadiin anak investasi naudzubillah mending gausah daripada makin SUMPEK ni org yg nyari lapangan pekerjaan",2025-05-01T01:39:12.000Z,
twitter,"ngl I hate him but I kinda agree with the idea, cuma cara nyampein nya ky tai
Coba diubah jadi ""vasektomi gratis untuk penerima bansos dan beasiswa"" atau gimana gitu yg gak offensive 
tentu dengan syarat dan ketentuan kaya minimal usia, sudah punya anak lebih dari 3 dll",2025-05-01T01:31:58.000Z,
twitter,Ada ga ya yang ga setuju TNR tapi setuju Vasektomi untuk penerima bansos. Kalau ada lucu banget sih,2025-05-01T01:30:14.000Z,
twitter,"Kebijakan Vasektomi Bagi Penerima Bansos Berlebihan
 https://suaranegeri.com/2025/05/persis-kebijakan-vasektomi-bagi.html…
panen raya",2025-04-30T23:59:41.000Z,
twitter,"Kebijakan Vasektomi Bagi Penerima Bansos Bertentangan Dengan Ajaran Islam
 https://suaranegeri.com/2025/05/persis-kebijakan-vasektomi-bagi.html…
23 tahun pks",2025-04-30T23:57:02.000Z,
twitter,"bukan saya yg jd “sasaran”mu buat perkara ini, tp saya kasih km pasal perundang”an yg mengatur soal program KB di berikut ini. jd ngga ada aturan buat penerima Bansos wajib Vasektomi dan wajib punya anak dua yaa, jd silahkan explore sendiri perundang”annya",2025-04-30T23:47:14.000Z,
twitter,"Ga ada anjir. kalo vasektomi sbg syarat penerima bansos berarti efeknya adalah at least kalo sekeluarga ada 4 yg miskin, ga mungkin nambah jadi 5. kalo tes keperawanan buat daftar PNS buat apaan? efek positifnya apa? kan ga ada ngaruh ke kinerja juga",2025-04-30T23:45:20.000Z,
twitter,"penerima bansos untuk rakyat miskin kan ?
nanti semua rakyat di miskinkan dulu baru disuruh vasektomi 
mantap sekali, kita bisa kontrol warga dengan cara ini",2025-04-30T23:19:11.000Z,
twitter,ya tunggu kebijakan pemerintah lah. kalo pemerintah bilang pemberian vasektomi jd syarat wajib utk penerima bansos pasti nanti bisa digratiskan juga itu.,2025-04-30T23:11:35.000Z,
twitter,"anjing anjing, ni orang orang pada bahas vasektomi buat penerima bansos dan pada bilang miskin miskin mulu ajg gedeg bgt asu, 

ortu gw juga kurang mampu gara gara ngurusin ortu ibu gw ajg, sebelumnya mampu mampu aja jadi jangan salahin gara gara pny banyak anak dong asuwww",2025-04-30T22:48:52.000Z,
twitter,"Kebijakan yang konyol.
Vasektomi tapi untuk penerima bantuan... Bantuan kok pakai syarat konyol..
Penguasa yang seenak wudelnya bikin aturan padahal seharusnya penguasa hadir untuk rakyatnya..
Ya Allah.",2025-04-30T22:27:53.000Z,
twitter,"aku personally sangat setuju untuk vasektomi penerima bansos yang saat ini sudah punya anak 2 atau lebih
here is why",2025-04-30T22:01:19.000Z,
twitter,"Stop bawa” agama, orang penerima bansos juga belum tentu taat agama. Orang miskin juga mikir mau beli kondom, gak punya duit ngapain beli kondom mahal”. Justru krn wajib, vasektomi dilakukan agar bansos ga hanya tersalurkan bagi 1 keluarga yang punya sampe 10 kepala",2025-04-30T21:50:08.000Z,
twitter,"im with the state of

semua penerima bansos yang sudah punya anak 2 atau lebih pilih vasektomi atau bansos hilang
2 anak udah lebih dari cukup disebut sebagai rezeki
HAM pala lu, anak ke 3 atau ke 9 yang belum lahir itu lebih berhak atas Hak Asasi utk tdak hidup melarat",2025-04-30T21:30:44.000Z,
twitter,"Ngerti kan kenapa gubernur itu berani kasih aturan ""penerima bansos wajib vasektomi""? ",2025-04-30T17:19:46.000Z,
twitter,"berarti Kang Dedi Mulyadi tepad sasaran dunk syarat vasektomi buad penerima bansos, biar kedepan nya gak ada lagi warga lain ngalamin kayak gini

buzzer hipokrid pemuja anies gak bakalan nyampe akal nya kesini, udh ilang akal sehad nya pada ",2025-04-30T17:08:31.000Z,
twitter,"jd again, kl pernyataanku membenarkan vasektomi utk menekan laju pertumbuhan tapi tdk membenarkan 100% bahwa penerima bansos itu wajib di vasektomi. aku ksh pandangan sesuai keahlianku, it’s two different yaa. jd tenaga promotif dan kuratif itu tantangannya super banyakk kan",2025-04-30T16:56:25.000Z,
twitter,"RK: suntik mati jomblo
KDM: vasektomi jd syarat penerima Bansos

Gubernur Jabar emang loba teuing gimmick ",2025-04-30T16:54:27.000Z,
twitter,Berarti lu ga diajak dan keadaan lu ga sesuai konteks. Org sasaran vasektomi itu penerima bansos alias yg miskin.,2025-04-30T16:47:08.000Z,
twitter,"jadi solusinya gimana? saya tidak membenarkan 100% statement atau aturan mengenai wajib vasektomi utk penerima bansos, tapi saya membenarkan program vasektomi utk menekan laju pertumbuhan. menurut saya ini cukup jelas dan berbeda.",2025-04-30T16:43:16.000Z,
twitter,"jadi solusinya gimana? saya tidak membenarkan 100% statement atau aturan mengenai wajib vasektomi utk penerima bansos, tapi saya membenarkan program vasektomi utk menekan laju pertumbuhan. menurut saya ini cukup jelas dan berbeda.",2025-04-30T16:41:22.000Z,
twitter,Mungkin kang dedi mulyadi terinspirasi dr ini. Makanya penerima bansos dan beasiswa mau di vasektomi ,2025-04-30T15:59:55.000Z,
twitter,"2 anak cukup, apalagi bagi penerima bansos. lagian vasektomi dilakukan pada mereka penerima bansos yang udah punya anak.",2025-04-30T15:55:58.000Z,
twitter,"Bukan “vasektomi sebagai paksaan” ya pukimak. “Aturan penerima bansos harus vasektomi,” itu gak berperikemanusiaan. Sama halnya pemerintah gak bisa menyediakan sistem pendidikan yg memadai, sistem ketenagakerjaan yg adil, lapangan pekerjaan yg luas.",2025-04-30T15:52:08.000Z,
twitter,"Mau dibilang fasis juga aku kayanya ttp setuju aja kalo penerima bantuan miskin disuruh vasektomi. Kalo mau dibantu ya harus mau ""dibenerin"" sesuai syaratnya. Kalo org yg bisa biayain anak sih bebas mau punya anak berapa. Kasarnya: ""Yen miskin yo ojok kakehan polah.""",2025-04-30T15:41:09.000Z,
twitter,"Sebagai pembela KDM garis keras, aku mau lurusin beritanya ya kak, karena ini berita udah disinformasi + menjurus ke fitnah.
Vasektomi hanya utk ortu penerima bansos. Kalau memilih ga terima bansos ya ga usah vasektomi.
Memiliki anak dalam kemiskinan adalah kebodohan.",2025-04-30T14:45:18.000Z,
twitter,Sebenarnya kalau dipikir pikir lagi. KDM ada kebijakaan penerima bansos harus vasektomi dulu tu dia mikir jeleknya nder. Karena gamau yg jeleknya itu kejadian makanya dia buat kebijakan itu terutama ke yg ekonomi under. Dia sayang cuma orang lain nganggep nya itu diskriminasi,2025-04-30T14:28:39.000Z,
twitter,momen banget ya ada gubernur mewajibkan vasektomi untuk penerima bansos terus tiba2 muncul berita ini,2025-04-30T14:07:54.000Z,
twitter,"Ada yg bilang pro ku kasus vasektomi penerima bansos adalah hal jahat. Pikiran ku cuma ada
1. Mereka belum pernah merasakan jadi miskin
2. Mereka Miskin tapi dengan mental mereka miskin yang nyaman akan kemiskinan nya dan nyaman akan hidup hanya bermodal bantuan.",2025-04-30T13:52:43.000Z,
twitter,"Perkara usulan bansos dgn syarat vasektomi ini bikin gue kepikiran klu hal ini bs berpotensi penyelewengan. Let's say kebijakan ini jd, terus ketemu bnyk resisten dr kandidat penerima, sehingga pemerintah bs pny alasan buat g menyalurkan atau bahkan memotong anggaran bansos-",2025-04-30T13:29:49.000Z,
twitter,"Bedanya archetype orang2 di X, Instagram, dan Facebook. Topiknya sama, statement dari Dedi Mulyadi soal kebijakan vasektomi untuk penerima bansos.",2025-04-30T13:15:28.000Z,
twitter,"Setuju. Selama dia mengajukan diri buat keperluan yg mempersyaratkan itu, apapun golongannya, vasektomi dulu. Biar mikir² juga penerima bansos yg sebenernya nggak berhak itu",2025-04-30T13:15:10.000Z,
twitter,"kalau gak mau ya gpp kak. itu kan syarat wajib Penerima bansos. kalo gak mau vasektomi ya gak dapet bansos. simple!!! kan bansos mah gak seberapa, kalau milih utk punya anak banyak berarti kan mampu utk membesarkannya juga doong. gak perlu bansos lah ya. wkwkwkwk",2025-04-30T13:08:55.000Z,
twitter,"2)
oke kita berandai saja jika kebijakan ini berlaku dan yg mau dapat bansos, si bapaknya harus Vasektomi.

jika dikemudian hari ada kasus, ibu & bapak penerima bansos vasektomi ini cerai,
kemudian si ibu nikah lg sama bujangan miskin tdk bertanggung jawab lalu si ibu hamil lg,..",2025-04-30T12:58:53.000Z,
twitter,"First gue bukan penerima bansos apapun
Second gue perempuan
Third : GUE TETEP MAU LAKI GUE VASEKTOMI MESKI GUE DR KAUM BERADA JUGA. 
Terimakasih.
Sisanya, bodo amat. Atur lah masing-masing!!",2025-04-30T12:58:15.000Z,
twitter,"Kan yg di suruh KB penerima bansos yg udah punya 2 anak bang.
Yg blom punya anak 2 ga di vasektomi ttp dapet bansos..jadi bukan mau bikin mereka ga boleh punya anak.",2025-04-30T12:55:08.000Z,
twitter,"perihal yang lagi ramai; vasektomi.

sebenarnya nggak masalah sama vasektominya. seharusnya lebih galak disosialisasikan malah. cuma yang jadi masalah, ketika pemerintah ""mewajibkan"" vasektomi sebagai ""syarat"" penerima bansos, padahal bansos sendiri memang sudah",2025-04-30T12:30:23.000Z,
twitter,"seandainya bayi2 yg akan dilahirkan di dunia ini bisa milih
pastilah mereka tidak akan mau punya ayah yg miskin penerima bansos.
itu yg ga setuju vasektomi, otaknya perlu diperiksa, jgn2 Isinya tai.

ngebahas RUU TNI mingkem..tetiba bahas vasektomi langsung triak FASIS..Pepeklah",2025-04-30T11:32:23.000Z,
twitter,"gw se miskin elu sih sampe nerima jadi buzzer lucu aja sama elu yang bilang ngelanggar hak asasi padahal tinggal nolak bansos terus ga kena vasektomi kenapa anda yang koar-koar ttg hak apakah kamu penerima bansos juga?

pesan gw sih baca berita yang lengkap ya tolol",2025-04-30T11:30:49.000Z,
twitter,Sudut pandang Kang Dedi Mulyadi sebelum beliau mewajibkan vasektomi untuk pria sebagai syarat penerima bansos,2025-04-30T11:15:23.000Z,
twitter,"Pertama. KDM kan bukan muslim? Jd tidak ada urusannya dg fatwa haram atau tidak.

Kedua. Ini memang sangat diskriminatif.
Vasektomi itu untuk lelaki yg sudah mempunyai keturunan. Andaikan belum punya keturunan dan keadaannya memang memenuhi syarat sbgai penerima bansos gimana?",2025-04-30T11:12:16.000Z,
twitter,"Bahasan menarik karena wancananya vasektomi ini untuk penerima hibah beasiswa atau bansos lain...jadi sebenernya ini ga wajib untuk semua laki-laki
*tapi ada poin lain tadi lewat di tl yang nyinggung terkait hak",2025-04-30T11:10:41.000Z,
twitter,"Kak, posisinya ini ini aku beneran nanya. Kan KDM bilang kepala keluarga penerima bansos itu wajib vasektomi dulu kan biar dapet? Lalu untuk orang misskin yg ga berkeluarga gimana? Ibu tunggal yg kekurungan kan banyak. Apa ttp dapet juga? Kan ga dijelasin",2025-04-30T11:04:04.000Z,
twitter,"imo, kemiskinan itu diwariskan & kebijakan kdm masih masuk akal dgn mewajibkan vasektomi utk penerima bansos keluarga pra sejahtera. 

tp perlu tambahan berupa pengetahuan terkait pengelolaan duit, sebagai jalan keluarga ybs lepas dr status prasejahtera & punya anak. ya ga 
@grok
?",2025-04-30T10:56:48.000Z,
twitter,"Menurutku sih resikonya besar banget. Bisa dikembalikan pun setauku belum tentu berhasil.  Vasektomi itu hampir bisa disebut permanen, sementara kebijakan bisa berubah. Besok2 bisa jadi peraturan berubah penerima bansos tak perlu vasektomi. Nanti kasian orng yng udh vasektomi",2025-04-30T10:51:05.000Z,
twitter,"Banyaknya penolakan tuh rata2 dari laki2. Mereka takut kalo gabisa membuahi, padahal syarat vasektomi pun hrus punya anak minimal brp gitu. Mereka mikir apa ya? Mereka memang suka membuahi tanpa kasih nafkah seimbang kah? (ini konteks bagi penerima bansos ya)",2025-04-30T10:48:56.000Z,
twitter,"Justru dengan vasektomi dijadiin syarat bansos, biar warga kurang mampu nih mikir, mrk makan aja susah mau bikin anak lagi. Lagian udh dijelasin kalo syarat vasektomi tuh buat keluarga kurang mampu yg ""sudah memiliki anak"" dan mau jadi penerima bansos.",2025-04-30T10:23:40.000Z,
twitter,Suami aku cwk Alhamdulillah menanggapi berita ini dia pro.... Tapiii dia nya sendiri ngga mau kalo disuruh vasektomi sih soalnya BKN penerima bansos juga untungnya.... Tp suamiku jg ngerti kalo selama ini cewek yg banyak berkorban. Thats why dia ok ok aja kalo ada program ini,2025-04-30T10:17:15.000Z,
twitter,"Sebelum ngatain orang TOLOL tolong search dulu tentang vasektomi, lagipula ini kan ditujukan untuk orang miskin/kurang mampu/penerima bansos yg punya anak 2/lebih. Orang kaya mah bebas dia ga penerima bansos mo bikin anak 20 jg gpp, asal bisa menjamin hidup anak-anaknya.",2025-04-30T10:13:13.000Z,
twitter,"Vasektomi itu bagian dari otoritas tubuh, keputusan itu harus datang dari diri sendiri ga bisa dipaksakan. Kalo syarat penerima bansos harus vasektomi, itu sudah masuk ke ranah pemaksaan. Dan itu ga sejalan dgn amanat UUD. Nyocot mulu ga pake nalar lu dongo",2025-04-30T10:08:18.000Z,
twitter,"Itu kan syarat vasektomi BKKBN, sedangkan dari kemarin saya nyari berita masalah vasektomi versi KDM gak ada nyebut masalah syarat ini.
Yang ada semuanya mencantumkan ""seluruh laki-laki/suami penerima bantuan di JaBar"".
Kalau membabi buta harus semua kan sudah offside KDM.",2025-04-30T09:41:45.000Z,
twitter,"Gua setuju poin dia dukung vasektomi tapi gak dgn menjadikan itu sbg syarat penerima bantuan apalagi beasiswa, masuknya kejauhan",2025-04-30T09:37:09.000Z,
